Id,day_of_week,avg_total_steps,avg_calories_burned,avg_very_active_mins,avg_fairly_active_mins,avg_lightly_active_mins,avg_sedentary_mins
8053475328,Monday,16680.333333333332,3100.3333333333335,95.333333333333329,9.0,184.0,1151.6666666666667
8583815059,Monday,6678.25,2731.0,22.0,8.0,84.25,1325.75
1624580081,Monday,8062.666666666667,1531.0,8.0,4.3333333333333339,190.0,1237.6666666666667
4388161847,Monday,11071.0,3180.5,19.25,15.5,250.5,1006.5
6962181067,Monday,12474.25,2125.0,27.25,33.25,266.0,647.0
5577150313,Monday,6786.5,3125.5,61.5,25.25,162.25,799.25
4558609924,Monday,9094.25,2157.5,9.5,13.75,348.25,1048.75
4445114986,Monday,5431.25,2233.75,13.000000000000002,2.5,201.75,867.75
8378563200,Monday,10120.25,3843.5,92.0,10.75,157.0,746.5
8253242879,Monday,5990.0,1869.0,11.5,35.0,124.0,1269.5
5553957443,Tuesday,13634.0,2170.8,43.0,25.6,255.2,758.4
4558609924,Tuesday,6277.2,1970.0,9.0,15.6,261.2,1145.8
4702921684,Tuesday,8019.2,2972.0,2.4,10.6,246.6,734.0
4702921684,Wednesday,8137.6,2988.0,3.4,20.2,248.4,753.6
4388161847,Wednesday,11063.0,3073.0,14.8,28.6,225.2,829.0
2873212765,Wednesday,7010.8,1981.0,13.6,2.6000000000000005,343.6,1080.2
4702921684,Thursday,6955.8,2598.4,5.2,11.000000000000002,191.2,679.4
6117666160,Thursday,10914.666666666666,3138.3333333333335,3.666666666666667,6.3333333333333339,307.33333333333331,605.33333333333337
7086361926,Thursday,8505.8,2328.8,27.4,20.8,152.6,790.2
6962181067,Thursday,9643.25,1838.75,26.25,16.25,228.0,511.75
4558609924,Thursday,9382.2,2061.4,4.2,8.0,339.0,954.8
8583815059,Thursday,7568.5,2837.25,8.75,11.5,141.25,1278.5
1844505072,Thursday,6283.75,1943.25,0.5,3.2500000000000004,275.75,1104.5
2873212765,Thursday,8112.4,1820.0,8.6,8.0,298.8,1034.2
